2026-05-16 21:20:35 +0200 | etl.extract.get_raw_data | INFO | Raw data for main saved at data/raw/year=2026/month=05/day=16
2026-05-16 21:20:35 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-16 21:20:35 +0200 | etl.extract.get_raw_data | INFO | Request to API for alt successful.
2026-05-16 21:20:35 +0200 | etl.extract.get_raw_data | INFO | Raw data for alt saved at data/raw/year=2026/month=05/day=16
2026-05-16 21:20:35 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-16 21:20:36 +0200 | etl.extract.get_raw_data | INFO | Request to API for buy_sell successful.
2026-05-16 21:20:36 +0200 | etl.extract.get_raw_data | INFO | Raw data for buy_sell saved at data/raw/year=2026/month=05/day=16
2026-05-17 21:23:32 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-17 21:23:33 +0200 | etl.extract.get_raw_data | INFO | Request to API for main successful.
2026-05-17 21:23:33 +0200 | etl.extract.get_raw_data | INFO | Raw data for main saved at data/raw/year=2026/month=05/day=17
2026-05-17 21:23:33 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-17 21:23:34 +0200 | etl.extract.get_raw_data | INFO | Request to API for alt successful.
2026-05-17 21:23:34 +0200 | etl.extract.get_raw_data | INFO | Raw data for alt saved at data/raw/year=2026/month=05/day=17
2026-05-17 21:23:34 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-17 21:23:34 +0200 | etl.extract.get_raw_data | INFO | Request to API for buy_sell successful.
2026-05-17 21:23:34 +0200 | etl.extract.get_raw_data | INFO | Raw data for buy_sell saved at data/raw/year=2026/month=05/day=17
2026-05-19 22:06:25 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-19 22:06:27 +0200 | etl.extract.get_raw_data | INFO | Request to API for main successful.
2026-05-19 22:06:27 +0200 | etl.extract.get_raw_data | INFO | Raw data for main saved at data/raw/year=2026/month=05/day=19
2026-05-19 22:06:27 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-19 22:06:27 +0200 | etl.extract.get_raw_data | INFO | Request to API for alt successful.
2026-05-19 22:06:27 +0200 | etl.extract.get_raw_data | INFO | Raw data for alt saved at data/raw/year=2026/month=05/day=19
2026-05-19 22:06:27 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-19 22:06:28 +0200 | etl.extract.get_raw_data | INFO | Request to API for buy_sell successful.
2026-05-19 22:06:28 +0200 | etl.extract.get_raw_data | INFO | Raw data for buy_sell saved at data/raw/year=2026/month=05/day=19
2026-05-20 22:29:56 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-20 22:29:57 +0200 | etl.extract.get_raw_data | INFO | Request to API for main successful.
2026-05-20 22:29:57 +0200 | etl.extract.get_raw_data | INFO | Raw data for main saved at data/raw/year=2026/month=05/day=20
2026-05-20 22:29:57 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-20 22:29:57 +0200 | etl.extract.get_raw_data | INFO | Request to API for alt successful.
2026-05-20 22:29:57 +0200 | etl.extract.get_raw_data | INFO | Raw data for alt saved at data/raw/year=2026/month=05/day=20
2026-05-20 22:29:57 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-20 22:29:58 +0200 | etl.extract.get_raw_data | INFO | Request to API for buy_sell successful.
2026-05-20 22:29:58 +0200 | etl.extract.get_raw_data | INFO | Raw data for buy_sell saved at data/raw/year=2026/month=05/day=20
2026-05-21 22:08:31 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-21 22:08:32 +0200 | etl.extract.get_raw_data | INFO | Request to API for main successful.
2026-05-21 22:08:32 +0200 | etl.extract.get_raw_data | INFO | Raw data for main saved at data/raw/year=2026/month=05/day=21
2026-05-21 22:08:32 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-21 22:08:32 +0200 | etl.extract.get_raw_data | INFO | Request to API for alt successful.
2026-05-21 22:08:32 +0200 | etl.extract.get_raw_data | INFO | Raw data for alt saved at data/raw/year=2026/month=05/day=21
2026-05-21 22:08:32 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-21 22:08:33 +0200 | etl.extract.get_raw_data | INFO | Request to API for buy_sell successful.
2026-05-21 22:08:33 +0200 | etl.extract.get_raw_data | INFO | Raw data for buy_sell saved at data/raw/year=2026/month=05/day=21
2026-05-22 22:06:45 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-05-22 22:06:46 +0200 | etl.extract.get_raw_data | INFO | Request to API for main successful.
